eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-01-23,01/23,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2026-01-23_jv_boys-basketball,2026-01-23_jv_boys-basketball.jpg,bd5553e0-7a01-4ba8-b303-00c6a3138904
2026-01-24,01/24,Boys Basketball,boys-basketball,jv,JV,01:30 PM,Home,vs,Springfield,Tigers,Springfield Tigers,Poland Seminary High School,false,false,2026-01-24_jv_boys-basketball,2026-01-24_jv_boys-basketball.jpg,4bb0d40a-5557-457d-9fa0-2dc3ebfde113
2026-01-29,01/29,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2026-01-29_jv_girls-basketball,2026-01-29_jv_girls-basketball.jpg,b4f754fb-0347-43e4-bbd1-c8c5f254904d
2026-01-30,01/30,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,false,false,2026-01-30_jv_boys-basketball,2026-01-30_jv_boys-basketball.jpg,da940340-7f9a-4f91-8e99-9ba5c36f317d
2026-01-31,01/31,Girls Basketball,girls-basketball,jv,JV,12:00 PM,Away,@,Springfield,Tigers,Springfield Tigers,Springfield High School,false,false,2026-01-31_jv_girls-basketball,2026-01-31_jv_girls-basketball.jpg,160e74c3-87f8-4310-9143-c3da65059629
2026-01-31,01/31,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2026-01-31_jv_boys-basketball,2026-01-31_jv_boys-basketball.jpg,9bac714d-05fa-4c1b-8de1-8801c6153f52
2026-02-02,02/02,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,false,false,2026-02-02_jv_girls-basketball,2026-02-02_jv_girls-basketball.jpg,1054c0e0-092a-4872-af87-16e107225273
2026-02-03,02/03,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,false,false,2026-02-03_jv_boys-basketball,2026-02-03_jv_boys-basketball.jpg,5ec791e4-7e0d-4a51-a76d-b2566aad13fa
2026-02-05,02/05,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,false,false,2026-02-05_jv_girls-basketball,2026-02-05_jv_girls-basketball.jpg,ecb7a368-5a36-4e19-a875-4fb2af796770
2026-02-06,02/06,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Chaney,Cowboys,Chaney Cowboys,Chaney High School,false,false,2026-02-06_jv_boys-basketball,2026-02-06_jv_boys-basketball.jpg,ba91bcc0-a4a5-43d8-9117-c877649a5283
2026-02-07,02/07,Boys Basketball,boys-basketball,jv,JV,03:30 PM,Away,@,Streetsboro,Rockets,Streetsboro Rockets,Streetsboro High School,false,false,2026-02-07_jv_boys-basketball,2026-02-07_jv_boys-basketball.jpg,3e829f6e-17ba-494f-86e6-996a91d3f793
2026-02-09,02/09,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2026-02-09_jv_girls-basketball,2026-02-09_jv_girls-basketball.jpg,09be9d2c-32cf-4675-8d35-1bd800d9dd3d
2026-02-10,02/10,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2026-02-10_jv_boys-basketball,2026-02-10_jv_boys-basketball.jpg,c4a8c887-58b5-455c-bd93-35e5115581b7
2026-02-12,02/12,Girls Basketball,girls-basketball,jv,JV,05:30 PM,Away,@,Liberty,Leopards,Liberty Leopards,Liberty High School,false,false,2026-02-12_jv_girls-basketball,2026-02-12_jv_girls-basketball.jpg,3931fee0-08f9-43cf-bb3f-2a937ebd8ad6
2026-02-13,02/13,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Campbell,Red Devils,Campbell Red Devils,Poland Seminary High School,false,false,2026-02-13_jv_boys-basketball,2026-02-13_jv_boys-basketball.jpg,3144f67f-b7b2-4059-881c-434cdc07f760
2026-02-14,02/14,Girls Basketball,girls-basketball,jv,JV,11:00 AM,Away,@,Pymatuning Valley,Lakers,Pymatuning Valley Lakers,Pymatuning Valley High School,false,false,2026-02-14_jv_girls-basketball,2026-02-14_jv_girls-basketball.jpg,1932230d-fe95-4c5a-b4f6-c7fc789764b1
